"passportArea.name","passportArea.id","passportArea.alpha3code","passportArea.alpha2code","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","role.code2","role.code3","role.name","birthArea.name","birthArea.id","birthArea.alpha3code","birthArea.alpha2code","wyId","foot","shortName","currentNationalTeamId"
"France","250","FRA","FR",77,"Adel","","Taarabt","3193","1989-05-24",182,"MD","MID","Midfielder","Morocco","504","MAR","MA",9080,"right","A. Taarabt","null"
"France","250","FRA","FR",65,"Corentin","","Jean","3780","1995-07-15",170,"FW","FWD","Forward","France","250","FRA","FR",134512,"right","C. Jean","null"
"Nigeria","566","NGA","NG",77,"Kelechi Promise","","Iheanacho","1631","1996-03-10",187,"FW","FWD","Forward","Nigeria","566","NGA","NG",285508,"left","K. Iheanacho","16823"
"Portugal","620","PRT","PT",69,"Jos\u00e9 Rodolfo","","Pires Ribeiro","5655","1992-02-06",177,"DF","DEF","Defender","Brazil","76","BRA","BR",41904,"left","Dod\u00f4","null"
"Germany","276","DEU","DE",82,"Robin","","Koch","2453","1996-07-17",190,"DF","DEF","Defender","Germany","276","DEU","DE",336829,"right","R. Koch","null"
"Nigeria","566","NGA","NG",74,"Kenneth Josiah","","Omeruo","712","1993-10-17",185,"DF","DEF","Defender","Nigeria","566","NGA","NG",12,"right","K. Omeruo","16823"
"Germany","276","DEU","DE",81,"Niklas","","Stark","2457","1995-04-14",190,"DF","DEF","Defender","Germany","276","DEU","DE",173212,"right","N. Stark","null"
"Germany","276","DEU","DE",73,"Marc","","Stendera","2462","1995-12-10",173,"MD","MID","Midfielder","Germany","276","DEU","DE",173213,"right","M. Stendera","null"
"Germany","276","DEU","DE",75,"Timo","","Werner","2975","1996-03-06",180,"FW","FWD","Forward","Germany","276","DEU","DE",173214,"right","T. Werner","3148"
"England","0","XEN","",75,"John","","Stones","1625","1994-05-28",188,"DF","DEF","Defender","England","0","XEN","",9380,"right","J. Stones","2413"
"Brazil","76","BRA","BR",70,"Douglas","","dos Santos Justino de Melo","2450","1994-03-22",175,"DF","DEF","Defender","Brazil","76","BRA","BR",143566,"left","Douglas Santos","null"
"Ukraine","804","UKR","UA",88,"Yevhen","","Seleznyov","4615","1985-07-20",187,"FW","FWD","Forward","Ukraine","804","UKR","UA",105344,"right","Y. Seleznyov","null"
"Italy","380","ITA","IT",66,"Diego Sebasti\u00e1n","","Laxalt Su\u00e1rez","3157","1993-02-07",178,"MD","MID","Midfielder","Uruguay","858","URY","UY",116269,"left","D. Laxalt","15670"
"France","250","FRA","FR",71,"Romain","","Caumet","3787","1999-04-13",174,"MD","MID","Midfielder","France","250","FRA","FR",501018,"","R. Caumet","null"
"England","0","XEN","",67,"Rolando","","Aarons","3194","1995-11-16",175,"MD","MID","Midfielder","Jamaica","388","JAM","JM",337225,"left","R. Aarons","null"
"Turkey","792","TUR","TR",83,"Kenan","","Karaman","2455","1994-03-05",189,"FW","FWD","Forward","Germany","276","DEU","DE",165431,"left","K. Karaman","4687"
"France","250","FRA","FR",70,"Fr\u00e9d\u00e9ric","","Guilbert","3783","1994-12-24",178,"DF","DEF","Defender","France","250","FRA","FR",28908,"right","F. Guilbert","null"
"Hungary","348","HUN","HU",83,"P\u00e9ter","","Gul\u00e1csi","2975","1990-05-06",190,"GK","GKP","Goalkeeper","Hungary","348","HUN","HU",9611,"right","P. Gul\u00e1csi","10451"
"Croatia","191","HRV","HR",81,"Nikola","","Kalini\u0107","3157","1988-01-05",187,"FW","FWD","Forward","Croatia","191","HRV","HR",105376,"right","N. Kalini\u0107","null"
"Congo DR","180","COD","CD",83,"Senna","","Miangue","3173","1997-02-05",192,"DF","DEF","Defender","Belgium","56","BEL","BE",402898,"left","S. Miangue","5635"
"France","250","FRA","FR",68,"Matt\u00e9o","","Ahlinvi","3785","1999-07-02",183,"DF","DEF","Defender","France","250","FRA","FR",501205,"left","M. Ahlinvi","null"
"Italy","380","ITA","IT",75,"Mauro Emanuel","","Icardi Rivero ","3161","1993-02-19",181,"FW","FWD","Forward","Argentina","32","ARG","AR",206314,"right","M. Icardi","null"
"Italy","380","ITA","IT",73,"Davide","","Biraschi","3193","1994-07-02",182,"DF","DEF","Defender","Italy","380","ITA","IT",206318,"right","D. Biraschi","null"
"France","250","FRA","FR",67,"S\u00e9bastien","","Salles Lamonge","3774","1996-01-28",170,"MD","MID","Midfielder","France","250","FRA","FR",271888,"right","S. Salles Lamonge","null"
"Congo DR","180","COD","CD",80,"Marcel","","Tisserand","2451","1993-01-10",190,"DF","DEF","Defender","France","250","FRA","FR",149091,"right","M. Tisserand","18538"
"Albania","8","ALB","AL",73,"Milot","","Rashica","2443","1996-06-28",177,"FW","FWD","Forward","Kosovo","0","XKS","",239191,"right","M. Rashica","22124"
"Germany","276","DEU","DE",80,"Lucas","","H\u00f6ler","2453","1994-07-10",184,"FW","FWD","Forward","Germany","276","DEU","DE",271990,"right","L. H\u00f6ler","null"
"Turkey","792","TUR","TR",79,"Berkay","","\u00d6zcan","2445","1998-02-15",180,"MD","MID","Midfielder","Germany","276","DEU","DE",345707,"right","B. \u00d6zcan","null"
"France","250","FRA","FR",60,"Enzo","","Loiodice","3804","2000-11-27",176,"MD","MID","Midfielder","France","250","FRA","FR",566942,"left","E. Loiodice","null"
"Italy","380","ITA","IT",75,"Simone","","Scuffet","3163","1996-05-31",187,"GK","GKP","Goalkeeper","Italy","380","ITA","IT",239288,"right","S. Scuffet","3763"
"Italy","380","ITA","IT",78,"Elio","","Capradossi","3158","1996-03-11",185,"DF","DEF","Defender","Uganda","800","UGA","UG",239290,"right","E. Capradossi","3763"
"Italy","380","ITA","IT",63,"Jos\u00e9","","Mauri","3157","1996-05-16",169,"MD","MID","Midfielder","Argentina","32","ARG","AR",239294,"right","J. Mauri","null"
"Italy","380","ITA","IT",70,"Vittorio","","Parigini","3219","1996-03-25",180,"FW","FWD","Forward","Italy","380","ITA","IT",239295,"right","V. Parigini","3763"
"Italy","380","ITA","IT",77,"Federico","","Bonazzoli","3204","1997-05-21",182,"FW","FWD","Forward","Italy","380","ITA","IT",239298,"left","F. Bonazzoli","3764"
"Sweden","752","SWE","SE",89,"Pontus","","Jansson","1630","1991-02-13",196,"DF","DEF","Defender","Sweden","752","SWE","SE",50806,"right","P. Jansson","7047"
"Guinea","324","GIN","GN",72,"Pa Momodou","","Konate","3204","1994-04-25",178,"DF","DEF","Defender","Sweden","752","SWE","SE",50807,"left","P. Konate","null"
"Italy","380","ITA","IT",81,"Facundo Juli\u00e1n","","P\u00edriz Gonz\u00e1lez","3787","1990-03-27",187,"MD","MID","Midfielder","Uruguay","858","URY","UY",116345,"right","F. P\u00edriz","null"
"Germany","276","DEU","DE",85,"Florian","","M\u00fcller","2460","1997-11-13",192,"GK","GKP","Goalkeeper","Germany","276","DEU","DE",337647,"left","F. M\u00fcller","null"
"Germany","276","DEU","DE",78,"Ohis Felix","","Uduokhai","2451","1997-09-09",192,"DF","DEF","Defender","Germany","276","DEU","DE",337682,"right","F. Uduokhai","null"
"Tunisia","788","TUN","TN",82,"Syam","","Ben Youssef","4551","1989-03-31",186,"DF","DEF","Defender","France","250","FRA","FR",10014,"right","S. Ben Youssef","16276"
"Germany","276","DEU","DE",83,"Cedric","","Teuchert","2449","1997-01-14",183,"FW","FWD","Forward","Germany","276","DEU","DE",337732,"right","C. Teuchert","3155"
"Nigeria","566","NGA","NG",76,"Victor James","","Osimhen","2451","1998-12-29",185,"FW","FWD","Forward","Nigeria","566","NGA","NG",403273,"right","V. Osimhen","null"
"Tunisia","788","TUN","TN",70,"Mohamed","","Dr\u00e4ger","2453","1996-06-25",178,"MD","MID","Midfielder","Germany","276","DEU","DE",272234,"right","M. Dr\u00e4ger","16279"
"C\u00f4te d'Ivoire","384","CIV","CI",71,"Jean Eud\u00e8s","","Aholou","3779","1994-03-20",186,"MD","MID","Midfielder","C\u00f4te d'Ivoire","384","CIV","CI",141172,"left","J. Aholou","null"
"Germany","276","DEU","DE",0,"Justin","","Hoffmanns","2454","1997-02-26",176,"DF","DEF","Defender","Germany","276","DEU","DE",337781,"right","J. Hoffmanns","null"
"Libya","434","LBY","LY",73,"Ahmed","","Benali","3197","1992-02-07",173,"MD","MID","Midfielder","England","0","XEN","",10113,"right","A. Benali","null"
"England","0","XEN","",77,"Jordan","","Pickford","1623","1994-03-07",185,"GK","GKP","Goalkeeper","England","0","XEN","",10131,"left","J. Pickford","2413"
"Italy","380","ITA","IT",65,"Gianluca","","Gaudino","3165","1996-11-11",175,"MD","MID","Midfielder","Germany","276","DEU","DE",272280,"right","G. Gaudino","null"
"Germany","276","DEU","DE",73,"Lukas","","Kl\u00fcnter","2463","1996-05-26",184,"DF","DEF","Defender","Germany","276","DEU","DE",272338,"right","L. Kl\u00fcnter","null"
"Germany","276","DEU","DE",69,"Maximilian","","Mittelst\u00e4dt","2457","1997-03-18",178,"DF","DEF","Defender","Germany","276","DEU","DE",337890,"left","M. Mittelst\u00e4dt","null"
"Germany","276","DEU","DE",69,"Mahmoud","","Dahoud","2447","1996-01-01",177,"MD","MID","Midfielder","Syria","760","SYR","SY",272363,"right","M. Dahoud","3155"
"Germany","276","DEU","DE",75,"Elvis","","Rexhbecaj","2451","1997-11-01",182,"MD","MID","Midfielder","Albania","8","ALB","AL",337903,"left","E. Rexhbecaj","null"
"Germany","276","DEU","DE",84,"Dominik","","Reimann","2447","1997-06-18",186,"GK","GKP","Goalkeeper","Germany","276","DEU","DE",272373,"right","D. Reimann","null"
"Italy","380","ITA","IT",82,"Mauro Daniel","","Goicoechea Furia","3780","1988-03-27",186,"GK","GKP","Goalkeeper","Uruguay","858","URY","UY",116393,"right","M. Goicoechea","null"
"Brazil","76","BRA","BR",71,"Rog\u00e9rio","","Oliveira da Silva","3315","1998-01-13",178,"DF","DEF","Defender","Brazil","76","BRA","BR",403449,"left","Rog\u00e9rio","null"
"France","250","FRA","FR",71,"Val\u00e8re","","Pollet","3776","1997-06-27",177,"MD","MID","Midfielder","France","250","FRA","FR",436250,"","V. Pollet","null"
"Germany","276","DEU","DE",74,"Marco","","Richter","2481","1997-11-24",176,"FW","FWD","Forward","Germany","276","DEU","DE",337960,"right","M. Richter","3156"
"Portugal","620","PRT","PT",82,"Gabriel","","Appelt Pires","712","1993-09-18",187,"MD","MID","Midfielder","Brazil","76","BRA","BR",43051,"left","Gabriel","null"
"Germany","276","DEU","DE",75,"Waldemar","","Anton","2455","1996-07-20",189,"DF","DEF","Defender","Uzbekistan","860","UZB","UZ",272434,"right","W. Anton","3155"
"Germany","276","DEU","DE",82,"Timo","","H\u00fcbers","2455","1996-07-20",190,"DF","DEF","Defender","Germany","276","DEU","DE",272435,"right","T. H\u00fcbers","null"
"Nigeria","566","NGA","NG",70,"Noah-Joel","","Sarenren-Bazee","2455","1996-08-21",182,"MD","MID","Midfielder","Germany","276","DEU","DE",272436,"right","N. Sarenren-Bazee","null"
"Germany","276","DEU","DE",75,"Maximilian","","Eggestein","2443","1996-12-08",181,"MD","MID","Midfielder","Germany","276","DEU","DE",272440,"right","M. Eggestein","3155"
"Korea Republic","410","KOR","KR",63,"Seung-Woo","","Lee","3194","1998-01-06",173,"FW","FWD","Forward","Korea Republic","410","KOR","KR",403546,"right","Lee Seung-Woo","14855"
"Iceland","352","ISL","IS",88,"\u00d6gmundur","","Kristinsson","26","1989-06-19",191,"GK","GKP","Goalkeeper","Iceland","352","ISL","IS",206994,"right","\u00d6. Kristinsson","null"
"Italy","380","ITA","IT",77,"Carlos Joaqu\u00edn","","Correa","680","1994-08-13",188,"MD","MID","Midfielder","Argentina","32","ARG","AR",207001,"right","J. Correa","null"
"Brazil","76","BRA","BR",73,"Wergiton","","do Ros\u00e1rio Calmon","3780","1988-09-28",180,"MD","MID","Midfielder","Brazil","76","BRA","BR",43196,"right","Som\u00e1lia","null"
"Morocco","504","MAR","MA",71,"Zakaria","","Bakkali","677","1996-01-26",168,"FW","FWD","Forward","Belgium","56","BEL","BE",239843,"right","Z. Bakkali","null"
"Ghana","288","GHA","GH",67,"Emmanuel Okyere","","Boateng","695","1996-05-23",175,"FW","FWD","Forward","Ghana","288","GHA","GH",338201,"right","E. Boateng","null"
"Brazil","76","BRA","BR",78,"F\u00e1bio Henrique","","Tavares","19830","1993-10-23",188,"MD","MID","Midfielder","Brazil","76","BRA","BR",207143,"right","Fabinho","null"
"Senegal","686","SEN","SN",76,"Papa Alioune","","N'Diaye","1639","1990-10-27",180,"MD","MID","Midfielder","Senegal","686","SEN","SN",207164,"right","B. N'Diaye","19314"
"Portugal","620","PRT","PT",78,"Gil","","Basti\u00e3o Dias","3176","1996-09-28",183,"FW","FWD","Forward","Portugal","620","PRT","PT",338249,"left","Gil Dias","9910"
"Portugal","620","PRT","PT",74,"Allan","","Marques Loureiro","3187","1991-01-08",175,"MD","MID","Midfielder","Brazil","76","BRA","BR",40726,"right","Allan","null"
"Poland","616","POL","PL",77,"Jan","","Bednarek","1619","1996-04-12",189,"DF","DEF","Defender","Poland","616","POL","PL",240032,"right","J. Bednarek","13869"
"Poland","616","POL","PL",75,"Dawid","","Kownacki","3164","1997-03-14",187,"FW","FWD","Forward","Poland","616","POL","PL",240042,"right","D. Kownacki","13869"
"Peru","604","PER","PE",72,"Wilder Jos\u00e9","","Cartagena Mendoza","15416","1994-09-23",179,"MD","MID","Midfielder","Peru","604","PER","PE",139080,"right","W. Cartagena","15594"
"Italy","380","ITA","IT",72,"Andrea","","Nalini","3197","1990-06-20",180,"FW","FWD","Forward","Italy","380","ITA","IT",272878,"right","A. Nalini","null"
"Brazil","76","BRA","BR",77,"Andrei","","Girotto","3770","1992-02-17",186,"MD","MID","Midfielder","Brazil","76","BRA","BR",43515,"right","Andrei Girotto","null"
"Korea DPR","408","PRK","KP",70,"Kwang-Song","","Han","3173","1998-09-11",178,"FW","FWD","Forward","Korea DPR","408","PRK","KP",404209,"right","Han Kwang-Song","19571"
"France","250","FRA","FR",82,"Alban","","Lafont","3780","1999-01-23",193,"GK","GKP","Goalkeeper","Burkina Faso","854","BFA","BF",404213,"right","A. Lafont","4423"
"France","250","FRA","FR",82,"Ga\u00ebtan","","Poussin","3772","1999-01-13",184,"GK","GKP","Goalkeeper","France","250","FRA","FR",404214,"right","G. Poussin","null"
"France","250","FRA","FR",77,"Boubacar","","Kamara","3771","1999-11-23",184,"DF","DEF","Defender","France","250","FRA","FR",404216,"right","B. Kamara","4423"
"France","250","FRA","FR",73,"Micka\u00ebl","","Cuisance","2454","1999-08-16",181,"MD","MID","Midfielder","France","250","FRA","FR",404219,"left","M. Cuisance","4423"
"Comoros","174","COM","KM",70,"Myziane","","Maolida","3766","1999-02-14",180,"FW","FWD","Forward","France","250","FRA","FR",404226,"right","M. Maolida","4423"
"France","250","FRA","FR",0,"Ervin","","Taha","3772","1999-03-14",180,"FW","FWD","Forward","France","250","FRA","FR",404227,"right","E. Taha","null"
"France","250","FRA","FR",77,"Hicham","","Mahou","3775","1999-07-02",180,"MD","MID","Midfielder","France","250","FRA","FR",437011,"right","H. Mahou","null"
"Spain","724","ESP","ES",70,"Jes\u00fas Joaqu\u00edn","","Fern\u00e1ndez S\u00e1ez de la Torre","3157","1993-11-19",176,"FW","FWD","Forward","Spain","724","ESP","ES",11063,"left","Suso","null"
"England","0","XEN","",69,"Raheem Shaquille","","Sterling","1625","1994-12-08",170,"FW","FWD","Forward","Jamaica","388","JAM","JM",11066,"right","R. Sterling","2413"
"Brazil","76","BRA","BR",72,"Andreas","","Hoelgebaum Pereira","674","1996-01-01",178,"MD","MID","Midfielder","Belgium","56","BEL","BE",240445,"right","Andreas Pereira","null"
"Nigeria","566","NGA","NG",82,"William","","Troost-Ekong","3163","1993-09-01",191,"DF","DEF","Defender","Netherlands","528","NLD","NL",11093,"right","W. Troost-Ekong","16823"
"Serbia","688","SRB","RS",77,"Milos","","Veljkovic","2443","1995-09-26",184,"DF","DEF","Defender","Switzerland","756","CHE","CH",11095,"right","M. Veljkovic","17322"
"Senegal","686","SEN","SN",71,"Pape Sane","","Mbodji","698","1997-09-20",183,"MD","MID","Midfielder","Senegal","686","SEN","SN",404333,"","P. Mbodji","null"
"Mali","466","MLI","ML",88,"Moussa Sidi Yaya","","Demb\u00e9l\u00e9","1624","1987-07-16",185,"MD","MID","Midfielder","Belgium","56","BEL","BE",11152,"left","M. Demb\u00e9l\u00e9","5629"
"Costa Rica","188","CRI","CR",82,"Bryan","","Ruiz Gonz\u00e1lez","5655","1985-08-18",188,"MD","MID","Midfielder","Costa Rica","188","CRI","CR",11155,"left","B. Ruiz","16871"
"Italy","380","ITA","IT",85,"Marcello","","Trotta","3197","1992-09-29",188,"FW","FWD","Forward","Italy","380","ITA","IT",11156,"left","M. Trotta","null"
"Spain","724","ESP","ES",74,"V\u00edctor","","Moya Mart\u00ednez","682","1997-06-10",182,"MD","MID","Midfielder","Spain","724","ESP","ES",400558,"right","Chuca","null"
"Russia","643","RUS","RU",75,"Yuri","","Zhirkov","13885","1983-08-20",180,"MD","MID","Midfielder","Russia","643","RUS","RU",101857,"left","Y. Zhirkov","14358"
"Norway","578","NOR","NO",73,"Iver","","Fossum","2455","1996-07-15",180,"MD","MID","Midfielder","Norway","578","NOR","NO",208089,"right","I. Fossum","7342"
"Brazil","76","BRA","BR",72,"Bruno","","da Silva Peres","5638","1990-03-01",178,"DF","DEF","Defender","Brazil","76","BRA","BR",44251,"right","Bruno Peres","null"
"Germany","276","DEU","DE",74,"Salih","","\u00d6zcan","2463","1998-01-11",180,"MD","MID","Midfielder","Turkey","792","TUR","TR",356903,"right","S. \u00d6zcan","null"
"Italy","380","ITA","IT",70,"Mattia","","Vitale","3204","1997-10-01",177,"MD","MID","Midfielder","Italy","380","ITA","IT",339192,"left","M. Vitale","null"
"Serbia","688","SRB","RS",85,"Du\u0161ko","","To\u0161i\u0107","9126","1985-01-19",185,"DF","DEF","Defender","Serbia","688","SRB","RS",127530,"left","D. To\u0161i\u0107","17322"
"Bosnia-Herzegovina","70","BIH","BA",70,"Dzenis","","Burnic","2445","1998-05-22",181,"MD","MID","Midfielder","Germany","276","DEU","DE",356908,"left","D. Burnic","3156"
"Ukraine","804","UKR","UA",74,"Pylyp","","Budkivskyi","13910","1992-03-10",194,"FW","FWD","Forward","Ukraine","804","UKR","UA",138457,"right","P. Budkivskyi","null"
"Serbia","688","SRB","RS",80,"Luka","","Milivojevi\u0107","1628","1991-04-07",186,"MD","MID","Midfielder","Serbia","688","SRB","RS",127537,"right","L. Milivojevi\u0107","17322"
"France","250","FRA","FR",74,"Jessy","","Deminguet","3783","1998-01-07",178,"MD","MID","Midfielder","France","250","FRA","FR",437636,"left","J. Deminguet","4426"
"Portugal","620","PRT","PT",79,"Miguel \u00c2ngelo","","da Silva Rocha","3804","1994-11-10",186,"MD","MID","Midfielder","Portugal","620","PRT","PT",273819,"right","Xeka","null"
"Burkina Faso","854","BFA","BF",73,"Bertrand Isidore","","Traor\u00e9","3766","1995-09-06",181,"FW","FWD","Forward","Burkina Faso","854","BFA","BF",142755,"left","B. Traor\u00e9","null"
"Brazil","76","BRA","BR",83,"Vitor Hugo","","Franchescoli de Souza","3176","1991-05-20",187,"DF","DEF","Defender","Brazil","76","BRA","BR",44510,"right","Vitor Hugo","null"
"Senegal","686","SEN","SN",69,"Lemouya","","Goudiaby","3777","1997-01-09",178,"MD","MID","Midfielder","France","250","FRA","FR",470517,"right","L. Goudiaby","null"
"Germany","276","DEU","DE",73,"Marcel","","Benger","2454","1998-07-02",188,"MD","MID","Midfielder","Germany","276","DEU","DE",372316,"right","M. Benger","null"
"C\u00f4te d'Ivoire","384","CIV","CI",0,"Siriki","","Sanogo","3219","2001-12-21",0,"FW","FWD","Forward","C\u00f4te d'Ivoire","384","CIV","CI",564512,"null","S. Sanogo","null"
"Spain","724","ESP","ES",68,"Alberto","","L\u00f3pez Jim\u00e9nez","683","1995-05-27",173,"DF","DEF","Defender","Spain","724","ESP","ES",470756,"","Alberto L\u00f3pez","null"
"Iceland","352","ISL","IS",77,"Gylfi \u00de\u00f3r","","Sigur\u00f0sson","1623","1989-09-08",186,"MD","MID","Midfielder","Iceland","352","ISL","IS",77558,"right","G. Sigur\u00f0sson","7839"
"Austria","40","AUT","AT",75,"Valentino","","Lazaro","2457","1996-03-24",178,"MD","MID","Midfielder","Austria","40","AUT","AT",208652,"right","V. Lazaro","9109"
"Italy","380","ITA","IT",82,"Rodrigo","","Ely","696","1993-11-03",192,"DF","DEF","Defender","Brazil","76","BRA","BR",208694,"right","Rodrigo Ely","null"
"Italy","380","ITA","IT",65,"Matteo","","Politano","3315","1993-08-03",171,"FW","FWD","Forward","Italy","380","ITA","IT",208696,"left","M. Politano","3757"
"Austria","40","AUT","AT",73,"Alessandro","","Sch\u00f6pf","2449","1994-02-07",178,"MD","MID","Midfielder","Austria","40","AUT","AT",208716,"right","A. Sch\u00f6pf","null"
"Spain","724","ESP","ES",73,"Alejandro","","Berenguer Remiro","3185","1995-07-04",175,"FW","FWD","Forward","Spain","724","ESP","ES",339791,"right","\u00c1lex Berenguer","null"
"Chad","148","TCD","TD",81,"Rodrigue Casimir","","Ninga","3787","1993-05-17",186,"FW","FWD","Forward","Chad","148","TCD","TD",143189,"right","C. Ninga","19241"
"Spain","724","ESP","ES",68,"Pape Cheik","","Diop Gueye","3766","1997-08-08",180,"MD","MID","Midfielder","Senegal","686","SEN","SN",339812,"right","Pape Diop","null"
"France","250","FRA","FR",64,"Killian","","Sanson","3787","1997-06-07",173,"MD","MID","Midfielder","France","250","FRA","FR",372627,"right","K. Sanson","null"
"France","250","FRA","FR",73,"Baptiste","","Santamaria","3799","1995-03-09",183,"MD","MID","Midfielder","France","250","FRA","FR",274344,"right","B. Santamaria","34101"
"Niger","562","NER","NE",77,"Seybou","","Koita","3789","1994-04-15",180,"FW","FWD","Forward","Niger","562","NER","NE",274345,"right","S. Koita","null"
"Sweden","752","SWE","SE",84,"Patrik","","Carlgren","4498","1992-01-08",188,"GK","GKP","Goalkeeper","Sweden","752","SWE","SE",51188,"right","P. Carlgren","null"
"England","0","XEN","",76,"Nick","","Pope","1646","1992-04-19",192,"GK","GKP","Goalkeeper","England","0","XEN","",12242,"right","N. Pope","2413"
"Angola","24","AGO","AO",75,"Bartolomeu Jacinto","","Quissanga","3162","1991-03-27",184,"DF","DEF","Defender","Angola","24","AGO","AO",208865,"right","Bastos","null"
"Iran","364","IRN","IR",78,"Saeid","","Ezatolahi Afagh","13897","1996-10-01",190,"MD","MID","Midfielder","Iran","364","IRN","IR",241647,"right","S. Ezatolahi","10840"
"French Guiana","254","GUF","GF",85,"Yoann","","Salmier","3779","1992-11-21",188,"DF","DEF","Defender","France","250","FRA","FR",339964,"right","Y. Salmier","null"
"Turkey","792","TUR","TR",75,"Enes","","\u00dcnal","682","1997-05-10",185,"FW","FWD","Forward","Turkey","792","TUR","TR",274435,"right","E. \u00dcnal","4687"
"Italy","380","ITA","IT",78,"Guido","","Guerrieri","3162","1996-02-25",184,"GK","GKP","Goalkeeper","Italy","380","ITA","IT",241675,"right","G. Guerrieri","null"
"Italy","380","ITA","IT",77,"Roberto","","Gagliardini","3161","1994-04-07",188,"MD","MID","Midfielder","Italy","380","ITA","IT",241676,"right","R. Gagliardini","null"
"Spain","724","ESP","ES",76,"Carlos","","Soler Barrag\u00e1n","674","1997-01-02",180,"MD","MID","Midfielder","Spain","724","ESP","ES",372752,"right","Carlos Soler","1604"
"Spain","724","ESP","ES",0,"Francisco Javier","","Guerrero Mart\u00edn","684","1996-03-11",185,"FW","FWD","Forward","Spain","724","ESP","ES",372753,"right","Francis Guerrero","null"
"Brazil","76","BRA","BR",66,"Gerson","","Santos da Silva","3158","1997-05-20",175,"MD","MID","Midfielder","Brazil","76","BRA","BR",340019,"left","Gerson","null"
"Italy","380","ITA","IT",87,"Adam","","Masina","3166","1994-01-02",191,"DF","DEF","Defender","Morocco","504","MAR","MA",232822,"left","A. Masina","null"
"Italy","380","ITA","IT",75,"Alessandro","","Bastoni","3172","1999-04-13",190,"DF","DEF","Defender","Italy","380","ITA","IT",405597,"left","A. Bastoni","3761"
"Italy","380","ITA","IT",70,"Mirko","","Antonucci","3158","1999-03-11",181,"FW","FWD","Forward","Italy","380","ITA","IT",405602,"right","M. Antonucci","null"
"Portugal","620","PRT","PT",70,"K\u00e9vin Manuel","","Rodrigues","687","1994-03-05",170,"DF","DEF","Defender","France","250","FRA","FR",209012,"left","K\u00e9vin Rodrigues","null"
"Algeria","12","DZA","DZ",65,"Farid","","Boulaya","3777","1993-02-25",180,"MD","MID","Midfielder","France","250","FRA","FR",209014,"right","F. Boulaya","null"
"Croatia","191","HRV","HR",72,"Adrien","","Thomasson","3770","1993-12-10",177,"MD","MID","Midfielder","France","250","FRA","FR",209028,"right","A. Thomasson","null"
"Serbia","688","SRB","RS",82,"Vasilije","","Janji\u010di\u0107","2450","1998-11-02",180,"MD","MID","Midfielder","Switzerland","756","CHE","CH",444439,"right","V. Janji\u010di\u0107","6705"
"France","250","FRA","FR",74,"Anthony","","Maisonnial","3782","1998-03-23",188,"GK","GKP","Goalkeeper","France","250","FRA","FR",340108,"right","A. Maisonnial","4426"
"C\u00f4te d'Ivoire","384","CIV","CI",72,"Kouadio Yves","","Dabila","3776","1997-01-01",183,"DF","DEF","Defender","C\u00f4te d'Ivoire","384","CIV","CI",372904,"right","K. Dabila","null"
"Morocco","504","MAR","MA",67,"Amine","","Harit","2449","1997-06-18",179,"MD","MID","Midfielder","France","250","FRA","FR",372915,"right","A. Harit","16216"
"France","250","FRA","FR",73,"Morgan","","Sanson","3771","1994-08-18",180,"MD","MID","Midfielder","France","250","FRA","FR",209086,"right","M. Sanson","null"
"Togo","764","TGO","TG",78,"Corentin","","Tolisso","2444","1994-08-03",181,"MD","MID","Midfielder","France","250","FRA","FR",209091,"right","C. Tolisso","4418"
"Senegal","686","SEN","SN",70,"Abdallah","","N'Dour","3779","1993-12-20",186,"DF","DEF","Defender","Senegal","686","SEN","SN",209095,"left","A. N'Dour","null"
"France","250","FRA","FR",71,"Adrien","","Rabiot","3767","1995-04-03",188,"MD","MID","Midfielder","France","250","FRA","FR",209117,"left","A. Rabiot","null"
"Denmark","208","DNK","DK",64,"Pione","","Sisto Ifolo Emirmija","692","1995-02-04",171,"MD","MID","Midfielder","South Sudan","728","SSD","SS",241945,"right","P. Sisto","7712"
"Germany","276","DEU","DE",87,"Julian","","Pollersbeck","2450","1994-08-16",195,"GK","GKP","Goalkeeper","Germany","276","DEU","DE",241957,"right","J. Pollersbeck","null"
"Ghana","288","GHA","GH",76,"Gideon","","Jung","2450","1994-09-12",189,"DF","DEF","Defender","Germany","276","DEU","DE",241966,"right","G. Jung","null"
"United States","840","USA","US",84,"Weston ","","McKennie","2449","1998-08-28",185,"MD","MID","Midfielder","United States","840","USA","US",471348,"right","W. McKennie","8134"
"Gabon","266","GAB","GA",64,"Johann","","Obiang","3795","1993-07-05",170,"DF","DEF","Defender","France","250","FRA","FR",209207,"left","J. Obiang","null"
"France","250","FRA","FR",70,"Flavien","","Tait","3799","1993-02-02",175,"MD","MID","Midfielder","France","250","FRA","FR",209209,"right","F. Tait","null"
"Congo DR","180","COD","CD",71,"Micha\u00ebl Jordan","","Nkololo","3783","1992-11-09",183,"MD","MID","Midfielder","France","250","FRA","FR",209211,"right","J. Nkololo","18538"
"Brazil","76","BRA","BR",67,"Gabriel Fernando","","de Jesus","1625","1997-04-03",175,"FW","FWD","Forward","Brazil","76","BRA","BR",340386,"right","Gabriel Jesus","6380"
"Tunisia","788","TUN","TN",82,"Fakhreddine","","Ben Youssef","16468","1991-06-23",192,"FW","FWD","Forward","Tunisia","788","TUN","TN",209354,"right","F. Ben Youssef","16276"
